Entity,education1990,education2020
Afghanistan,2.50405,10.263844
Albania,11.60293,14.448
Algeria,9.65877,14.626896
Andorra,10.79878,13.300239
Angola,3.53748,12.1721
Antigua and Barbuda,,14.184627
Argentina,13.281041,17.87487
Armenia,10.927313,13.11676
Australia,17.53508,21.05459
Austria,13.93256,16.00796
Azerbaijan,11.06904,13.49689
Bahamas,,12.89945
Bahrain,13.885123,16.29756
Bangladesh,5.8323,12.44198
Barbados,12.77293,15.713385
Belarus,12.98762,15.16997
Belgium,14.03106,19.60422
Belize,9.961449,12.99169
Benin,5.29268,10.76668
Bhutan,4.638174,13.225005
Bolivia,11.581702,14.946971
Bosnia and Herzegovina,,13.8
Botswana,10.815942,12.265138
Brazil,12.10387,15.59906
Brunei,11.824854,13.95178
Bulgaria,12.01098,13.89729
Burkina Faso,2.47177,9.1421
Burundi,4.51751,10.722722
Cambodia,7.032154,11.46772
Cameroon,8.15243,13.1086
Canada,16.76797,16.39626
Cape Verde,,12.554614
Central African Republic,5.38744,8.040172
Chad,2.4151785,8.035914
Chile,12.758091,16.7313
China,8.63022,14.2361145
Colombia,8.941542,14.44275
Comoros,8.155587,11.924324
Congo,11.00813,12.330815
Costa Rica,9.79405,16.54577
Cote d'Ivoire,5.5533557,10.67558
Croatia,9.487243,15.1121
Cuba,12.21516,14.44306
Cyprus,9.22617,15.64827
Czechia,11.83513,16.21968
Democratic Republic of Congo,6.2115135,9.817864
Denmark,14.06154,18.7148
Djibouti,2.6011865,7.43298
Dominica,,13.319186
Dominican Republic,9.143648,14.466558
Ecuador,11.82929,14.62423
Egypt,9.69794,13.7865
El Salvador,8.899497,12.671348
Equatorial Guinea,,9.73494
Eritrea,,8.064525
Estonia,13.13126,15.92896
Eswatini,9.369875,13.744346
Ethiopia,2.9479408,9.651072
Fiji,12.403228,14.73679
Finland,14.99647,19.05193
France,14.08889,15.81207
Gabon,11.83213,12.97731
Gambia,4.672285,9.418626
Georgia,12.7942915,15.56852
Germany,14.560726,17.01014
Ghana,6.751592,12.04778
Greece,12.38534,20.02879
Grenada,14.394648,18.66202
Guatemala,6.5067644,10.56245
Guinea,2.66297,9.805298
Guinea-Bissau,6.3910584,10.613063
Guyana,9.65816,12.502722
Haiti,7.156425,9.7
Honduras,8.327741,10.132814
Hong Kong,13.0546665,17.27817
Hungary,11.12654,15.033628
Iceland,14.23715,19.16306
India,7.996358,11.87462
Indonesia,10.07167,13.748894
Iran,10.083642,14.61525
Iraq,9.614478,12.087473
Ireland,12.34975,18.94522
Israel,12.87395,16.05089
Italy,12.81748,16.22679
Jamaica,11.27082,13.404921
Japan,13.01529,15.221626
Jordan,11.2394,10.64656
Kazakhstan,12.53703,15.765
Kenya,7.6053214,10.698559
Kiribati,10.44218,11.801993
Kuwait,10.94134,15.324433
Kyrgyzstan,12.0209,13.1953
Laos,6.58662,10.13611
Latvia,12.66884,16.20253
Lebanon,11.712008,11.28587
Lesotho,8.6512,12.040878
Liberia,,10.42079
Libya,14.016561,12.85428
Liechtenstein,,15.18157
Lithuania,12.84978,16.28506
Luxembourg,10.527326,14.39814
Madagascar,6.32634,10.134992
Malawi,5.5293,12.678986
Malaysia,9.82768,13.34304
Maldives,,12.63561
Mali,2.07657,7.4230375
Malta,12.67961,16.83857
Marshall Islands,,10.23932
Mauritania,3.71726,9.37616
Mauritius,10.49817,15.17353
Mexico,10.94776,14.86444
Moldova,7.134404,14.433
Mongolia,10.1634,14.98035
Montenegro,,15.08161
Morocco,6.51742,14.15191
Mozambique,3.7088475,10.2191515
Myanmar,6.00158,10.909138
Namibia,10.42287,11.927207
Nauru,,11.69042
Nepal,7.46075,12.88695
Netherlands,14.67445,18.693165
New Zealand,14.4828,20.28389
Nicaragua,7.4887,12.641357
Niger,2.05957,6.957112
Nigeria,5.69637,10.1275835
North Korea,,10.78317
North Macedonia,10.351891,13.624433
Norway,13.9455,18.1852
Oman,7.8967,14.57349
Pakistan,4.62605,8.65835
Palau,,15.78432
Palestine,,13.35801
Panama,10.65224,13.0578785
Papua New Guinea,3.7840302,10.360771
Paraguay,8.5833,12.987991
Peru,11.72139,15.387733
Philippines,10.78757,13.12657
Poland,12.23526,16.02715
Portugal,11.76767,16.87123
Qatar,11.84734,12.63722
Romania,11.92111,14.2299
Russia,12.82444,15.76637
Rwanda,5.63204,11.23097
Saint Kitts and Nevis,12.695158,15.427691
Saint Lucia,13.843374,12.86611
Saint Vincent and the Grenadines,11.705843,14.672206
Samoa,11.9216,12.4188595
San Marino,,12.26614
Sao Tome and Principe,8.229322,13.365385
Saudi Arabia,9.585306,16.13549
Senegal,4.42313,8.96375
Serbia,12.382515,14.40009
Seychelles,11.450634,13.94161
Sierra Leone,4.50616,9.573391
Singapore,10.601848,16.52432
Slovakia,11.537586,14.51304
Slovenia,11.96399,17.65492
Solomon Islands,5.98546,10.328691
South Africa,11.41157,13.64371
South Korea,13.58105,16.52174
South Sudan,,5.54251
Spain,14.0401,17.9169
Sri Lanka,11.248413,14.139905
Sudan,4.1947684,7.945188
Suriname,11.82423,13.035644
Sweden,12.89835,19.41853
Switzerland,13.42648,16.5003
Syria,10.26681,9.16422
Tajikistan,11.98298,11.653036
Tanzania,5.693888,9.22149
Thailand,8.43434,15.882219
Timor,,12.616098
Togo,7.49265,12.950494
Tonga,12.07151,16.04857
Trinidad and Tobago,11.111313,14.535453
Tunisia,10.47406,15.425383
Turkey,9.05579,18.33822
Turkmenistan,,13.2104
Tuvalu,10.15764,9.40443
Uganda,5.72158,10.14987
Ukraine,12.37268,14.956569
United Arab Emirates,10.47456,15.71769
United Kingdom,13.65499,17.30972
United States,15.41786,16.28098
Uruguay,12.88957,16.8326
Uzbekistan,11.31337,12.47714
Vanuatu,,11.535315
Venezuela,10.48842,12.81608
Vietnam,7.84186,12.951933
Yemen,6.450827,9.09871
Zambia,7.52906,10.928761
Zimbabwe,9.76765,12.110969
